id,Name,Country,Continent,Dif,Description
123,Bran Castle,Romania,Europe,1,
124,Abu Simbel,Egypt,Africa,0,
125,Mausoleums in Timbuktu,Mali,Africa,2,
126,Lion's Gate at Mycenae,Greece,Europe,2,
127,Meteora's Monasteries,Greece,Europe,2,
128,Shibuya Crossing,Japan,Asia,1,
129,Chocolate Hills,Philippines,Asia,1,
130,Zhangye Danxia National Park,China,Asia,2,
131,Ha Long Bay,Vietnam,Asia,1,
132,The Grand Palace,Thailand,Asia,1,"The Grand Palace is a majestic complex of buildings located in Bangkok, Thailand. It served as the official residence of the Kings of Siam since 1782 until 1925 and is now used for ceremonial purposes. The Grand Palace is a stunning example of Thai architecture and design, with intricate details, rich colors, and elaborate patterns adorning the buildings and the grounds. The complex features the Wat Phra Kaew temple, which houses the famous Emerald Buddha statue."
133,Gyeongbokgung Palace,South Korea,Asia,2,
134,Angel Falls,Venezuela,South America,1,
135,Meenakshi Temple,India,Asia,1,
136,Aachen Cathedral,Germany,Europe,1,
137,Golden Temple,India,Asia,2,
138,Brihadisvara Temple in Thanjavur,India,Asia,2,
139,Statue of Unity,India,Asia,1,
140,Hungarian Parliament Building,Hungary,Europe,0,"The Hungarian Parliament Building is a magnificent example of Neo-Gothic architecture, located in Budapest, Hungary. Completed in 1904, the building features 691 rooms, including the Hungarian Crown Jewels, and is one of the largest Parliament buildings in the world. Every material used in the building's construction was sourced from Hungary except for the marble capitals, which were imported from Sweden. Visitors can admire the Danube River, which flows beside it."
141,Wat Phra Dhammakaya Temple,Thailand,Asia,1,
142,Cologne Cathedral,Germany,Europe,1,
143,Frauenkirche in Dresden,Germany,Europe,2,
144,Lotus Temple,India,Asia,2,
145,Belem Tower,Portugal,Europe,0,
146,Palacio da Pena,Portugal,Europe,0,
147,Giralda,Spain,Europe,1,
148,Mosque of Cordoba,Spain,Europe,1,
149,Arts and Sciences City,Spain,Europe,2,
150,Cathedral of Santiago,Spain,Europe,1,
151,El Escorial,Spain,Europe,2,
152,Chambord Castle,France,Europe,1,
153,Carcassonne,France,Europe,1,
154,Grande Place,Belgium,Europe,1,
155,Manneken Pis,Belgium,Europe,0,
156,Rijksmuseum,Netherlands,Europe,2,
157,Tower of London,United Kingdom,Europe,1,
158,Schönbrunn Palace,Austria,Europe,2,
159,Pompey & Vesubius,Italy,Europe,1,
160,Diocletian Palace,Croatia,Europe,2,
161,Dubrovnik walls,Croatia,Europe,2,
162,Auschwiz,Poland,Europe,0,
163,Winter Palace,Russia,Europe,1,
164,Kremlin,Russia,Europe,0,
165,Little Mermaid,Denmark,Europe,0,
166,Turning Torso ,Sweden,Europe,2,
167,Palmyra,Syria,Asia,1,
168,Dead sea,Israel,Asia,2,
169,Masada,Israel,Asia,2,
170,Dome of the Rock,Palestine,Asia,1,
171,Western wall,Israel,Asia,2,"The Western Wall, also known as the Wailing Wall, is a sacred site in Jerusalem's Old City. It is considered the holiest place where Jews can pray and is believed to be the only remaining part of the Second Temple, which was destroyed by the Romans in 70 CE. Visitors can leave notes with prayers or wishes in the cracks of the wall. The Western Wall has also been the site of many historic events, including visits by world leaders."
172,Qibla,Saudi Arabia,Asia,1,
173,Sheikh Zayed Mosque,UAE,Asia,1,"The Sheikh Zayed Mosque is a grand mosque located in Abu Dhabi, United Arab Emirates. It was built in 2007 and is named after the late Sheikh Zayed bin Sultan Al Nahyan, the founder and first president of the UAE. The mosque features 82 domes and four minarets, and is the largest mosque in the country, able to accommodate over 41,000 worshippers. The mosque also houses the world's largest handmade carpet, which measures over 5,600 square meters."
174,Ait Ben Haddou,Morocco,Africa,2,
175,Hassan II Mosque,Morocco,Africa,2,
176,Leptis Magna,Libya,Africa,2,
177,Himeji Castle ,Japan,Asia,1,
178,Genghis Khan Statue,Mongolia,Asia,1,
179,Ulun Danu ,Indonesia,Asia,2,
180,Hobbiton,New Zealand ,Oceania,2,
181,Washington Monument,United States,North America,1,
182,Lincoln Memorial,United States,North America,1,
183,Pentagon,United States,North America,0,
184,Bellagio Fountains,United States,North America,2,
185,Disneyland,United States,North America,0,
186,Gateway Arch,United States,North America,2,
187,Monument Valley,United States,North America,2,
188,Space Needle,United States,North America,2,
189,Metropolitan Cathedral,Mexico,North America,2,
190,Capitol in La Habana,Cuba,North America,0,
191,Lima Cathedral,Peru,South America,2,
192,Brasilia Cathedral,Brazil,South America,2,
193,Octavio Frias de Oliveira Bridge,Brazil,South America,2,
194,Maracana Stadium,Brazil,South America,1,
